# for file format info please take a look at /input/others/txt_file_description.txt
general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
5            0.0005         100            2.5            output

particles:
# origin             velocity         mass    type     old_force
57.7125 11.8433 0     16.5933 -12.6987 0     1     0     424.457 165.615 0     
1.85969 4.46527e-05 0     -12.7911 -0.00474062 0     1     0     -5222.53 -306.117 0     
59.0718 9.96305 0     20.878 4.10159 0     1     0     -21.7056 -22.699 0     
0.326393 8.63134 0     23.0998 -2.70308 0     1     0     -116.832 167.028 0     
58.8568 20.8043 0     21.9668 1.27216 0     1     0     218.796 -339.966 0     
6.24312 6.10493 0     -2.72315 -5.10718 0     1     0     -140.327 -27.0007 0     
55.1428 1.30322 0     2.64685 -12.3064 0     1     0     133.085 -89.0765 0     
6.39955 13.2385 0     -12.8527 16.6238 0     1     0     13.5464 11.44 0     
58.7634 13.9869 0     7.16226 16.5095 0     1     0     488.587 2728.08 0     
1.99243 18.6795 0     4.31628 0.530919 0     1     0     7.60701 -7.12151 0     
61.9295 9.38137 0     10.2355 -17.0975 0     1     0     0.473528 -13.1245 0     
61.1633 21.9415 0     0.383526 5.73365 0     1     0     2389.63 1576.48 0     
56.3071 20.3244 0     -12.8694 2.77915 0     1     0     808.222 -99.9601 0     
56.2698 16.9088 0     -9.01226 -7.89727 0     1     0     -15.2541 -20.3345 0     
62.3417 5.44076 0     -5.76802 -0.117534 0     1     0     2.6405 -16.7706 0     
5.9451 10.2313 0     -15.5765 15.3903 0     1     0     -756.162 -515.55 0     
1.40037 4.07484 0     5.7366 24.3069 0     1     0     259.817 12.7545 0     
60.017 7.07569 0     13.6314 -7.13963 0     1     0     -35.2468 20.2704 0     
1.70906 6.81753 0     -0.246402 -10.0159 0     1     0     -174.557 -84.3439 0     
5.08187 0.606198 0     12.4969 -1.61167 0     1     0     -51.2801 33.5579 0     
58.3777 8.26599 0     6.89408 -7.69529 0     1     0     149.256 -563.431 0     
58.0536 6.50434 0     2.4727 3.65507 0     1     0     -47.0725 179.598 0     
57.9744 14.7865 0     0.493319 11.901 0     1     0     1398.19 -354.384 0     
56.572 9.92265 0     -22.5461 -8.67338 0     1     0     12.943 -41.3585 0     
1.86933 1.09798 0     -2.34746 3.30738 0     1     0     1.97315 -13.4086 0     
44.5464 30.9665 0     7.31513 0.230662 0     1     0     1.03705 -13.164 0     
59.8387 11.73 0     -31.732 5.8309 0     1     0     -86.2056 -86.1962 0     
62.8884 30.8815 0     21.1684 -1.99482 0     1     0     17.1035 -36.9353 0     
6.94486 5.40214 0     5.72909 5.52432 0     1     0     1.02257 -43.7325 0     
