# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
2.45857 1.86528 0     3.96069 9.33257 0     1     0     -823.123 -267.127 0     
3.00773 0.909974 0     -8.92176 0.207994 0     1     0     -213.743 1037.35 0     
1.12544 1.97259 0     -1.66789 3.2841 0     1     0     124.961 956.705 0     
0.896559 2.9768 0     1.22311 -0.950133 0     1     0     1153.46 -370.472 0     
1.99642 0.918263 0     -2.07478 0.77362 0     1     0     -241 981.905 0     
1.14315 3.89202 0     1.03367 -13.5016 0     1     0     128.111 411.083 0     
1.11652 4.91728 0     -9.42926 -8.38972 0     1     0     -689.668 153.239 0     
1.11225 6.16036 0     -5.78098 -2.30516 0     1     0     -292.004 -36.5426 0     
0.959597 7.19709 0     -4.5765 0.730788 0     1     0     221.692 -82.0946 0     
1.05198 8.19045 0     6.31797 -3.46093 0     1     0     -7.12556 -17.9085 0     
0.962085 9.17779 0     -3.83197 6.32738 0     1     0     532.07 409.865 0     
3.09414 9.0769 0     -0.403656 7.88201 0     1     0     229.39 583.967 0     
2.22429 9.67381 0     9.78712 -8.44226 0     1     0     124.471 2139.5 0     
1.87585 10.877 0     -2.54723 4.59379 0     1     0     -8.48726 -51.1155 0     
1.06951 10.3751 0     -1.92714 -2.33831 0     1     0     -501.583 -394.95 0     
1.05039 11.6398 0     2.14963 1.29482 0     1     0     -75.4263 -548.584 0     
1.19815 12.6022 0     3.10301 1.30612 0     1     0     -1043.8 684.671 0     
1.04193 14.798 0     3.99873 5.95572 0     1     0     9.81597 -96.7671 0     
1.89393 15.3954 0     3.60848 3.17604 0     1     0     -868.017 -254.185 0     
1.08807 16.1689 0     1.60319 0.667412 0     1     0     -54.5718 -61.1364 0     
1.11528 18.323 0     18.9745 7.02312 0     1     0     -467.163 373.403 0     
2.22822 19.3625 0     -3.98205 12.4203 0     1     0     -369.181 121.106 0     
4.72563 20.9942 0     4.14136 -1.18614 0     1     0     -501.134 -147.002 0     
3.40065 22.6262 0     1.41567 0.252053 0     1     0     -333.177 91.2693 0     
1.38155 21.588 0     -6.78172 -7.68312 0     1     0     -104.033 -781.929 0     
2.34087 25.7956 0     11.6841 2.9251 0     1     0     -131.56 -561.658 0     
2.73735 21.4613 0     2.75523 -1.86415 0     1     0     -52.0841 -283.857 0     
3.28128 23.8535 0     1.38843 -4.06497 0     1     0     289.956 397.892 0     
3.3026 27.5717 0     -10.8136 -5.58114 0     1     0     -117.064 489.652 0     
1.13562 30.3248 0     -0.661911 21.3484 0     1     0     -396.594 -360.711 0     
3.48902 32.0721 0     -5.69579 13.9876 0     1     0     -113.726 14.1479 0     
1.93877 24.5844 0     4.76668 -2.27393 0     1     0     646.882 162.979 0     
7.60691 29.9675 0     -7.65262 3.81969 0     1     0     353.315 729.412 0     
5.43603 30.4863 0     -3.14235 6.34584 0     1     0     -48.2455 -65.581 0     
5.53336 26.8432 0     -5.0994 -0.331976 0     1     0     -128.456 317.677 0     
2.09041 29.9073 0     -10.8329 -5.55714 0     1     0     208.415 -50.1891 0     
2.06248 32.22 0     -2.83122 0.758062 0     1     0     220.771 -131.358 0     
4.13746 30.8459 0     -17.4618 -3.42247 0     1     0     42.574 -4.57756 0     
2.78961 38.2104 0     -8.78581 7.56965 0     1     0     -327.633 575.778 0     
3.69843 50.7444 0     6.87377 -4.49984 0     1     0     -78.566 -97.6349 0     
7.07136 37.7286 0     9.3934 -2.69648 0     1     0     -307.787 279.336 0     
3.97542 38.032 0     -1.0854 4.02826 0     1     0     -569.368 -257.792 0     
16.5648 42.1273 0     -4.56031 -3.78608 0     1     0     124.519 414.998 0     
9.90733 47.5357 0     9.71534 -20.4204 0     1     0     456.911 10.2052 0     
15.4019 56.0716 0     2.58545 -2.22022 0     1     0     0.306792 -12.4786 0     
4.69684 39.5686 0     19.0587 -3.85501 0     1     0     1672.8 -1346.37 0     
7.8273 64.393 0     6.41777 12.7159 0     1     0     -8.95631 -16.7745 0     
17.9832 44.6619 0     -23.7052 -4.96284 0     1     0     -26.8132 -7.69239 0     
11.6691 58.2077 0     -6.46729 6.56124 0     1     0     0.0166494 -12.4861 0     
24.2507 43.6321 0     1.00141 -15.1889 0     1     0     -111.015 -114.179 0     
3.96543 1.10563 0     3.40531 -10.178 0     1     0     -387.218 -699.917 0     
0.937649 1.08901 0     -0.596746 -0.607688 0     1     0     436.153 -1348.48 0     
