# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
0.000330587 1.94715 0     0.110849 -1.31686 0     1     0     -1221.95 -1626.68 0     
7.01745e-06 0.902844 0     -0.0204671 -2.76403 0     1     0     -78.9569 1246.02 0     
1.70149 1.62395 0     -2.39239 5.84287 0     1     0     -1130.48 791.858 0     
7.73287e-05 2.85985 0     -0.266526 2.76077 0     1     0     -358.778 1280.91 0     
0.842105 2.29618 0     2.89951 2.07624 0     1     0     1289.15 -101.241 0     
2.43336e-05 3.9305 0     -0.00202841 -0.606103 0     1     0     -263.798 -38.3297 0     
4.6298e-05 5.16374 0     -0.107157 -7.92281 0     1     0     -216.076 -180.113 0     
2.843e-05 6.24511 0     -0.0381899 7.7013 0     1     0     -155.586 202.089 0     
1.06016 7.15446 0     1.25995 4.13888 0     1     0     -119.243 -215.773 0     
0.000207308 8.54499 0     0.0133863 2.67959 0     1     0     -906.205 359.258 0     
0.000162398 9.74171 0     -0.00725014 -0.077654 0     1     0     -633.953 -182.035 0     
3.75416e-06 10.7469 0     -0.0514397 8.65587 0     1     0     -101.467 252.536 0     
0.925861 9.50938 0     -3.38877 10.0454 0     1     0     375.54 -864.095 0     
0.000137652 11.8919 0     -0.186592 4.74984 0     1     0     -752.332 -582.062 0     
5.95895e-05 13.9385 0     -0.16766 -3.51431 0     1     0     -331.825 249.923 0     
3.46253e-05 15.0809 0     -0.181411 -2.13006 0     1     0     -347.225 192.212 0     
0.00259964 16.3032 0     0.139508 -3.25498 0     1     0     1.33683 -944.488 0     
4.04622e-05 20.3573 0     -0.0823683 -11.0408 0     1     0     -317.158 586.501 0     
4.10403 19.6999 0     4.11863 11.4194 0     1     0     169.87 1349.73 0     
0.00017849 23.1105 0     -0.00352633 -0.558836 0     1     0     -668.702 1921.63 0     
3.05418 19.3782 0     1.35279 -8.84989 0     1     0     513.898 565.719 0     
2.27835 24.3584 0     -7.36377 4.03224 0     1     0     -13.0139 460.671 0     
9.72475e-05 26.2536 0     -0.00993942 -5.90737 0     1     0     -294.645 345.871 0     
3.59432e-06 27.9206 0     -0.00424538 9.00095 0     1     0     -32.9417 -66.1828 0     
0.206684 42.5399 0     1.23921 5.10308 0     1     0     -1.75724 18.5694 0     
2.31942 40.5082 0     3.3261 -11.4792 0     1     0     971.604 -607.898 0     
6.46329 30.3752 0     11.876 9.42872 0     1     0     -271.317 38.915 0     
0.282057 29.8044 0     1.11863 3.2741 0     1     0     -245.784 -103.261 0     
0.0939924 30.8363 0     -11.0313 3.42525 0     1     0     -668.499 276.714 0     
7.40487 34.7904 0     11.4635 -3.24106 0     1     0     65.6941 -5.34939 0     
5.56746 42.7293 0     10.6481 -1.06727 0     1     0     -36.354 58.2233 0     
4.71781 36.9914 0     0.572377 9.94613 0     1     0     -823.782 1220.66 0     
1.51685 40.9351 0     -11.5396 0.763705 0     1     0     -1371.44 636.442 0     
3.35871 33.1124 0     -12.6911 3.29847 0     1     0     -738.885 505.011 0     
9.60553 31.1825 0     12.6647 -2.95946 0     1     0     -14.1001 -2431.39 0     
0.738932 35.1339 0     -7.93837 -5.64126 0     1     0     -11.4145 -25.9836 0     
0.876229 46.05 0     5.11182 8.17801 0     1     0     1.15042 -13.692 0     
1.77383 42.0173 0     8.09243 9.47138 0     1     0     -11.372 74.9231 0     
9.65662 32.0554 0     2.64246 1.49834 0     1     0     98.0749 2248.31 0     
3.79744 50.3507 0     -9.74695 -6.84128 0     1     0     1.42514 -1.44598 0     
6.8298 51.3368 0     11.7135 -1.31249 0     1     0     -4.49873 -16.1042 0     
25.7371 37.3455 0     -2.19926 -4.70881 0     1     0     362.875 -692.514 0     
5.11311 50.7872 0     1.62156 -3.69802 0     1     0     -24.9147 13.5636 0     
20.8774 50.2773 0     -13.4099 6.58048 0     1     0     484.205 -1032.7 0     
18.2025 46.3785 0     -1.98622 -13.0332 0     1     0     1.07683 -13.8793 0     
8.10924 92.3057 0     -8.3828 21.9776 0     1     0     0 -12.44 0     
20.2175 89.0208 0     32.7394 5.27331 0     1     0     0 -12.44 0     
27.4769 53.781 0     4.18607 -3.52467 0     1     0     -183.966 15.4342 0     
31.2003 41.8338 0     13.1286 -3.07585 0     1     0     3.96547 -11.9888 0     
1.77117 0.000166331 0     4.8121 -0.0119716 0     1     0     1140.79 -727.82 0     
0.880365 0.000370293 0     -8.68731 0.159525 0     1     0     -184.682 -815.675 0     
