# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius  parallel_strategy  output_baseName
25            0.0005       500           3                 0                 output

particles:
# origin             velocity         mass    type     old_force
2.99092 0.967622 0     0.439173 -0.065531 0     1     0     25.6633 -189.446 0     
0.974242 0.967655 0     -0.457095 -0.575365 0     1     0     17.5357 44.6475 0     
1.95301 1.00057 0     0.979156 1.50979 0     1     0     17.7781 -10.8925 0     
1.00278 1.94485 0     0.400222 0.162286 0     1     0     -13.5854 69.9837 0     
2.79558 2.768 0     -0.682427 0.135254 0     1     0     38.874 37.1953 0     
0.9692 2.99866 0     -1.43166 -0.859257 0     1     0     24.7102 -148.946 0     
0.985095 3.99475 0     -0.0709987 -0.349491 0     1     0     -28.7121 40.9378 0     
1.84033 4.51387 0     0.370189 -0.0574473 0     1     0     110.813 33.391 0     
0.983665 5.02256 0     -0.347145 0.104964 0     1     0     -35.7712 18.689 0     
0.995022 6.03045 0     0.0712318 -1.02558 0     1     0     -37.3905 -91.8458 0     
0.980328 7.0318 0     -0.511924 0.784339 0     1     0     99.5591 57.0237 0     
0.987296 8.04545 0     1.5513 -1.38092 0     1     0     88.1507 -38.328 0     
0.993829 9.06043 0     0.0840602 0.616895 0     1     0     12.2198 21.0057 0     
1.00206 10.0882 0     -0.397385 0.221067 0     1     0     -61.2441 -25.4286 0     
1.00266 11.1131 0     0.926965 -0.330453 0     1     0     -15.8073 63.5069 0     
1.00199 12.1568 0     -0.155605 0.310542 0     1     0     4.82862 -101.48 0     
1.00486 13.177 0     -0.751973 0.99726 0     1     0     12.5539 53.6836 0     
0.998255 14.2127 0     -0.568286 -0.0689379 0     1     0     94.1023 39.8931 0     
1.01589 15.2714 0     1.76542 0.220323 0     1     0     -33.8273 -17.73 0     
0.994058 16.3267 0     -0.810248 0.535139 0     1     0     96.8944 -76.5862 0     
1.89897 16.8369 0     -0.175938 0.535948 0     1     0     85.029 -4.41057 0     
1.00134 17.3716 0     -0.737959 -0.104561 0     1     0     49.4538 47.5348 0     
1.01475 18.4332 0     0.0339023 -0.404012 0     1     0     45.7314 -39.0149 0     
1.94312 18.9524 0     0.0935796 0.0693072 0     1     0     9.00891 -92.9964 0     
1.01112 19.4834 0     -0.0813753 1.14467 0     1     0     106.946 37.028 0     
1.04451 20.5439 0     -2.18687 -0.0736496 0     1     0     -10.4118 2.02987 0     
1.98294 21.0497 0     -0.143358 0.298498 0     1     0     1.89461 2.63192 0     
1.05548 21.6244 0     -0.38217 -0.500867 0     1     0     -61.0623 -135.965 0     
1.05409 22.6595 0     0.330178 -0.461853 0     1     0     4.50716 13.3728 0     
2.0239 23.1665 0     -0.553843 0.234927 0     1     0     -41.279 15.8526 0     
1.05934 23.7024 0     -0.699874 -0.108491 0     1     0     16.6338 1.62436 0     
1.072 24.7489 0     0.41271 -0.161378 0     1     0     -30.5784 71.9109 0     
2.99012 24.8043 0     0.325087 1.10887 0     1     0     19.587 -45.5608 0     
2.04086 25.2906 0     0.290657 0.451169 0     1     0     -0.124362 72.2612 0     
1.10561 25.8302 0     1.13696 0.468959 0     1     0     -81.213 -26.5634 0     
1.0535 26.8938 0     0.462992 0.0721325 0     1     0     85.3056 -4.19684 0     
1.05578 27.9594 0     0.33201 0.387978 0     1     0     55.0529 -55.1143 0     
1.08068 29.0115 0     0.25919 0.249902 0     1     0     -82.0774 112.301 0     
1.05305 30.1209 0     0.937872 -0.176726 0     1     0     36.8458 -13.8639 0     
1.05457 31.2294 0     0.182324 -0.929589 0     1     0     -21.2549 24.5912 0     
1.99894 31.7915 0     0.347601 0.00685851 0     1     0     19.8764 79.0406 0     
1.05387 32.3608 0     0.299071 -0.391107 0     1     0     55.7511 -69.0299 0     
1.08976 33.4295 0     0.516246 1.04865 0     1     0     -14.0336 65.2012 0     
1.11675 34.552 0     -1.36863 0.726355 0     1     0     -48.8846 78.6662 0     
1.13912 35.7928 0     0.360668 0.40107 0     1     0     -15.6019 -28.9124 0     
2.14451 36.3322 0     0.276179 0.314935 0     1     0     -0.316289 1.4704 0     
1.15585 36.9955 0     -0.405609 0.217706 0     1     0     -5.27203 -22.9162 0     
1.18176 39.4265 0     1.8103 -0.256244 0     1     0     9.63881 -21.3023 0     
1.23385 40.6299 0     0.560169 0.537026 0     1     0     3.50023 2.25498 0     
2.33858 41.2036 0     -0.429184 -0.334126 0     1     0     -5.60452 3.00956 0     
4.00442 0.968996 0     0.703115 -1.04293 0     1     0     -48.8646 -4.37749 0     
2.50693 1.80994 0     -1.46775 0.749998 0     1     0     -55.3012 30.7667 0     
3.49787 1.84129 0     1.40031 0.576173 0     1     0     -74.4256 117.598 0     
1.82663 2.48186 0     1.43565 -0.381335 0     1     0     -94.3368 21.1825 0     
2.69586 4.02339 0     0.741936 0.77178 0     1     0     -83.2759 49.8161 0     
1.88427 3.4717 0     0.497462 0.127017 0     1     0     0.101102 -33.3264 0     
2.79599 4.99884 0     0.333847 -0.299218 0     1     0     -61.8438 -94.701 0     
